Column1,Column2,Column3,Column4,Column5,Column6,Column7
24.82832,6.40328,13.52185,5.24655,0.0,0.0,0.0
26.37509,6.87686,11.6902,5.05785,0.0,0.0,0.0
24.39272,6.32277,13.93098,5.35353,0.0,0.0,0.0
23.53852,5.98954,14.99829,5.47365,0.0,0.0,0.0
24.12531,6.10257,14.27525,5.49687,0.0,0.0,0.0
24.26356,6.17662,14.17593,5.38389,0.0,0.0,0.0
25.31542,6.58188,12.92834,5.17436,0.0,0.0,0.0
24.85636,6.31528,13.56483,5.26353,0.0,0.0,0.0
